luas_tanah;luas_bangunan;jml_kamar;umur;jarak;harga;;;;
2.185.430.534.813.130;9.849.918.367.028.920;4;19.773.412.934.085.700;2.876.006.930.770.650;23.529.384.144.293.600;;;;
4.778.214.378.844.620;2.305.033.505.299.920;3;32.667.994.194.311.700;2.437.560.974.178.100;6.995.016.072.533.920;;;;
3.793.972.738.151.320;3.529.899.592.742.710;4;1.909.615.940.260.060;7.869.286.576.326.730;6.689.344.938.887.010;;;;
3.193.963.178.886.660;30.092.320.797.153.700;2;14.947.080.014.978.100;27.511.912.109.762.100;6.332.923.071.250.440;;;;
12.020.838.819.909.600;3.284.276.247.087.360;2;12.200.222.099.957.400;12.116.490.401.917.800;4.482.674.685.949.120;;;;
1.201.975.341.512.910;27.374.984.568.296.500;1;28.590.600.635.366.900;5.299.229.765.515.390;200.00.00;;;;
7.613.762.547.568.970;2.861.423.288.716.050;5;15.676.191.501.961.500;18.018.261.300.788.000;32.845.990.821.488.500;;;;
4.397.792.655.987.200;34.420.239.107.916.800;4;6.573.524.384.098.150;15.886.501.536.059.800;47.532.757.768.386.500;;;;
32.050.175.528.444.300;1.223.771.632.778.980;1;1.376.890.438.131.890;14.294.398.915.890.000;22.581.333.392.853.400;;;;
36.863.266.000.822.000;21.108.723.654.796.100;5;2.758.162.213.718.010;12.721.936.520.305.500;319.683.378.836.628;;;;
59.263.022.433.111.100;11.184.749.347.325.200;4;528.286.413.991.784;17.405.848.876.487.800;200.00.00;;;;
48.645.943.347.289.700;3.954.371.629.587.590;3;6.418.711.160.647.100;5.238.179.169.312.380;9.316.148.683.403.870;;;;
42.459.918.836.018.900;3.793.019.556.840.460;4;0.39088703271251246;17.589.068.012.520.300;5.480.363.565.399.630;;;;
14.555.259.980.522.400;4.458.792.020.634.710;2;0.4257014818730154;16.000.353.670.056.900;200.00.00;;;;
13.182.123.524.319.500;2.910.628.138.308.040;2;24.881.748.808.755.300;15.215.055.701.366.000;30.915.118.758.506.600;;;;
13.253.202.943.404.500;37.234.187.744.379.600;3;21.963.678.205.288.600;11.663.857.883.423.500;2.459.859.638.443.560;;;;
18.690.900.933.179.100;9.681.287.769.711.340;1;10.651.231.693.558.700;56.786.390.584.414.000;200.00.00;;;;
286.140.394.234.507;2.401.397.353.044.720;5;2.094.933.471.682.710;904.741.040.384.603;200.00.00;;;;
2.443.752.583.889.520;36.873.067.010.757.500;4;11.856.177.789.299.100;1.607.784.243.623.720;20.630.632.675.664.600;;;;
18.105.311.308.911.800;4.256.001.207.674.550;2;28.586.903.879.934.800;16.037.912.027.891.600;200.00.00;;;;
32.533.380.262.507.000;2.880.454.988.813.300;1;29.011.580.442.781.000;15.858.964.616.011.400;200.00.00;;;;
11.277.223.729.341.800;14.001.913.272.784.300;3;11.783.813.274.280.300;5.561.344.069.263.760;200.00.00;;;;
18.146.509.184.084.800;3.720.265.922.893.160;2;2.562.665.719.022.600;37.418.748.137.104.500;37.955.471.951.810.300;;;;
21.486.282.948.216.100;38.929.155.071.118.600;3;23.192.671.250.923.900;3.198.325.045.425.740;8.543.901.999.835.220;;;;
25.523.149.289.766.600;37.937.860.097.197.000;4;9.299.998.115.153.670;15.177.502.270.654.800;6.466.334.516.148.220;;;;
4.033.291.826.268.560;2.054.592.601.632.610;5;6.961.194.867.033.170;10.948.143.219.207.600;7.425.669.621.823.650;;;;
13.985.320.197.126.100;348.955.780.866.046;2;13.747.039.511.785.000;514.693.758.118.086;6.440.637.475.652.030;;;;
2.814.054.972.861.250;34.248.327.745.797.600;2;23.440.465.218.432.100;19.799.203.549.813;30.680.004.076.660.100;;;;
3.165.865.559.879.190;1.480.671.751.000.040;4;2.880.503.354.186.230;11.914.298.361.571.900;200.00.00;;;;
7.090.268.572.399.890;33.669.872.543.575.000;1;22.907.372.065.997.100;3.619.820.117.764.190;200.00.00;;;;
32.339.518.335.564.700;4.369.282.484.473.220;5;256.562.095.505.511;14.086.488.275.415.900;200.00.00;;;;
12.673.585.565.928.100;25.061.985.503.835.900;2;18.091.929.185.115.400;18.057.127.763.684.700;200.00.00;;;;
7.927.321.684.337.570;11.510.326.979.645.000;5;25.062.234.925.263.700;15.158.410.412.022.600;200.00.00;;;;
47.699.849.176.399.900;7.460.974.773.759.310;2;23.532.625.740.102.500;2.452.357.359.749.500;200.00.00;;;;
48.453.441.488.355.100;5.847.268.460.280.730;5;11.309.566.257.788.400;1.802.179.944.266.050;200.00.00;;;;
4.137.788.066.524.070;2.876.268.470.749.110;3;16.559.709.063.621.600;1.608.465.833.133.930;24.851.072.549.850.200;;;;
18.707.619.612.801.600;1.557.537.365.941.840;2;24.142.593.659.690.800;4.007.774.102.006.670;200.00.00;;;;
9.395.245.130.287.270;2.981.637.054.656.410;5;13.817.020.256.986.900;19.839.318.859.235.200;6.535.136.609.912.410;;;;
3.579.048.619.304.700;5.418.184.609.560.860;1;24.242.378.470.674.800;11.588.900.930.971.800;200.00.00;;;;
24.806.862.218.282.000;14.665.742.499.732.500;3;5.336.643.721.470.700;39.646.804.154.595.600;23.731.495.534.598.900;;;;
10.491.720.568.015.000;22.961.177.817.887.400;3;15.440.508.513.643.100;1.685.722.809.931.010;200.00.00;;;;
2.728.296.095.500.710;3.225.675.709.904.160;1;24.248.263.186.678.100;7.808.358.476.761.800;3.710.489.106.812.040;;;;
6.547.483.450.184.820;14.793.842.608.486.500;5;7.614.632.344.700.840;18.344.956.449.994.900;200.00.00;;;;
4.591.941.809.354.510;2.615.798.092.816.930;4;73.742.231.791.845.900;1.174.807.527.067.910;48.353.014.985.852.900;;;;
1.664.509.917.200.070;35.781.176.684.738.900;1;12.082.931.953.867.500;44.707.753.005.536.900;6.232.120.678.567.690;;;;
3.481.350.279.592.910;2.578.693.796.274.520;5;26.839.283.927.329.000;36.523.784.798.362.000;4.414.839.261.369.460;;;;
19.026.998.424.023.400;1.161.950.056.588.440;1;0.013283443116236526;11.952.976.313.597.300;50.430.847.996.023.300;;;;
2.840.306.095.300.140;3.902.828.917.591.900;1;2.704.149.289.925.800;15.475.788.625.386.400;200.00.00;;;;
29.601.962.570.447.500;35.193.658.334.334.400;2;4.614.210.739.248.230;1.584.860.730.710.140;200.00.00;;;;
13.318.450.498.648.700;3.786.968.201.464.320;5;2.970.259.128.202.440;6.239.390.684.384.340;200.00.00;;;;
48.631.308.249.405.100;3.536.396.188.931.530;4;28.645.409.791.154.000;4.880.688.419.331.180;7.141.289.827.813.840;;;;
39.880.977.051.250.100;22.570.673.959.006.800;2;148.402.556.877.385;13.183.697.853.552.600;6.998.803.964.489.810;;;;
4.727.745.237.038.850;3.774.550.484.497.710;1;15.381.607.434.378.800;13.904.783.872.822.200;43.017.436.761.550.000;;;;
45.267.230.769.244.100;3.255.497.972.362.560;1;14.446.480.208.275.600;24.547.969.102.372.400;9.566.992.755.231.710;;;;
3.190.549.904.649.880;39.923.562.089.733.400;1;19.063.309.369.785.600;899.446.283.355.259;7.292.365.715.315.060;;;;
46.484.340.576.040.200;15.976.337.171.713.200;5;27.216.510.670.479.300;12.431.961.116.347.600;5.481.095.129.425.620;;;;
8.982.162.592.336.370;3.138.596.669.045.160;5;0.9785384502469952;1.880.506.995.347.380;40.126.647.146.274.500;;;;
13.819.228.808.861.500;1.787.144.380.354.190;2;17.310.878.524.769.600;6.924.240.602.159.600;4.059.097.520.824.750;;;;
7.035.228.000.974.210;20.755.397.951.244.600;4;13.330.960.477.245.400;5.745.671.086.483.870;49.641.434.384.782.800;;;;
19.639.864.884.346.800;26.217.702.139.079.600;2;8.266.438.176.584.500;1.342.904.293.143.580;3.662.219.396.542.400;;;;
2.249.047.803.602.660;35.326.053.224.894.500;3;18.661.186.871.129.800;12.765.541.609.018.000;3.714.857.195.657.540;;;;
17.210.706.429.825.300;3.941.108.836.037.390;1;2.977.326.868.124.330;73.100.858.828.543.600;36.291.092.186.226.200;;;;
4.229.318.791.183.680;3.142.611.631.298.710;1;11.589.695.192.293.900;18.633.934.874.685.900;46.537.906.929.658.700;;;;
21.053.899.701.211.500;1.845.737.094.019.130;1;172.152.376.231.354;17.052.384.222.303.000;200.00.00;;;;
17.642.052.935.932.100;18.590.209.084.251.500;2;12.468.116.877.220.000;5.255.668.371.436.540;200.00.00;;;;
29.421.323.742.121.100;30.290.545.158.788.900;2;2.541.815.003.165.570;55.437.083.632.559.400;39.574.329.002.608.200;;;;
11.341.590.123.864.300;11.834.754.393.427.100;1;27.067.092.103.867.100;10.733.706.590.854.500;200.00.00;;;;
41.098.864.133.931.700;7.087.542.185.861.600;2;263.206.683.661.578;15.697.869.932.883.600;200.00.00;;;;
8.354.778.965.589.680;1.612.101.983.270.870;5;29.231.167.160.377.700;18.367.672.083.808.200;21.332.801.200.398.600;;;;
4.940.991.214.702.320;13.627.842.691.201.000;5;0.8255755542124588;14.173.367.920.959.400;7.904.520.475.749.990;;;;
39.751.014.618.349.500;13.963.400.456.871.600;2;2.519.448.486.436.590;13.316.482.050.259.800;200.00.00;;;;
1.394.220.566.903.770;11.643.486.788.846.600;1;225.531.651.911.728;5.398.121.822.346.770;200.00.00;;;;
5.248.495.270.562.100;455.744.801.654.539;2;6.860.832.282.010.940;13.945.707.251.585.600;200.00.00;;;;
41.695.764.280.467.500;3.661.335.585.136.310;2;28.689.602.801.625.800;1.886.348.063.378.950;200.00.00;;;;
3.680.858.047.314.270;39.545.728.420.233.100;2;4.445.337.846.898.360;1.888.931.054.463.600;667.693.808.786.911;;;;
3.780.532.256.184.440;18.827.605.948.226.900;3;2.038.649.781.401.720;70.733.890.505.491.800;4.183.051.629.511.710;;;;
3.970.716.560.086.750;17.220.085.944.908.200;5;6.746.706.504.477.370;932.535.761.666.075;200.00.00;;;;
8.332.009.328.034.060;2.814.694.945.964.350;4;1.294.141.946.322.220;18.085.946.819.569.100;200.00.00;;;;
21.130.957.784.492.200;11.075.393.851.007.300;4;21.574.796.908.337.000;19.282.967.485.573.900;200.00.00;;;;
10.214.107.678.630.800;38.148.563.806.158.300;3;168.997.392.609.914;9.438.189.683.430.310;200.00.00;;;;
4.383.965.416.440.170;32.094.765.533.375.400;2;12.825.054.939.843.300;15.250.539.830.701.600;2.788.489.248.427.310;;;;
33.048.415.707.240.100;6.308.207.085.553.600;3;9.790.152.927.959.610;11.101.559.451.525.100;200.00.00;;;;
19.890.411.118.369.200;18.450.488.704.042.300;3;2.518.978.967.126.370;11.217.875.760.086.100;200.00.00;;;;
7.860.125.762.871.060;35.527.377.379.800.000;1;4.314.430.509.444.410;62.838.907.862.607.700;3.776.453.943.425.490;;;;
18.994.204.477.204.700;3.795.508.482.478.210;5;12.903.086.295.894.000;5.122.168.671.413.710;7.471.750.162.234.560;;;;
19.633.249.491.203.600;2.029.385.591.624.510;4;27.112.727.153.254.200;6.472.101.572.556.780;20.003.324.562.077.500;;;;
37.832.278.025.212.800;25.696.221.400.796.100;2;25.375.486.513.799.000;11.570.232.137.884.500;200.00.00;;;;
3.369.008.621.098.450;9.180.256.005.406.780;4;120.282.528.741.914;15.539.485.344.196.900;5.662.745.354.604.210;;;;
44.924.573.415.934.600;3.967.323.916.706.810;4;2.289.325.090.803.920;1.823.772.994.277.170;28.837.106.563.362.200;;;;
2.624.967.163.228.770;11.571.852.951.187.400;5;24.694.824.921.265.700;3.969.390.481.445.740;23.298.847.266.020.500;;;;
10.381.741.067.223.500;3.788.107.564.299.960;4;26.666.622.720.108.800;5.181.684.860.556.340;200.00.00;;;;
3.709.601.542.503.470;2.703.692.601.271.760;4;16.335.173.071.476.800;10.847.247.352.505.200;47.977.936.470.492.800;;;;
39.235.327.187.760.300;25.486.261.410.517.700;3;6.133.826.581.641.350;14.492.180.560.408.300;40.864.728.444.643.200;;;;
3.025.747.389.062.730;21.969.474.907.610.800;5;7.659.272.295.117.940;28.188.520.401.435.400;7.172.353.381.031.670;;;;
39.693.523.097.955.200;11.534.783.033.557.000;1;8.870.840.221.248.120;7.036.199.253.396.080;4.100.577.060.841.310;;;;
